Municipio,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,01/03/2020 00:00,34
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,02/03/2020 00:00,34.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,03/03/2020 00:00,32.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,04/03/2020 00:00,35.1
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,05/03/2020 00:00,34.3
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,06/03/2020 00:00,35.7
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,07/03/2020 00:00,33.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,08/03/2020 00:00,33.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,09/03/2020 00:00,30.5
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,10/03/2020 00:00,36.2
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,11/03/2020 00:00,35.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,12/03/2020 00:00,31.9
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,13/03/2020 00:00,34.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,14/03/2020 00:00,31.5
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,15/03/2020 00:00,30.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,16/03/2020 00:00,32.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,17/03/2020 00:00,34
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,18/03/2020 00:00,34.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,19/03/2020 00:00,34
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,20/03/2020 00:00,30.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,21/03/2020 00:00,32.1
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,22/03/2020 00:00,33.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,23/03/2020 00:00,32
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,24/03/2020 00:00,31.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,25/03/2020 00:00,32.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,26/03/2020 00:00,31.9
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,27/03/2020 00:00,33.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,28/03/2020 00:00,34.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,29/03/2020 00:00,34.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,30/03/2020 00:00,30.7
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,31/03/2020 00:00,29.1
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,01/04/2020 00:00,31.1
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,02/04/2020 00:00,30.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,03/04/2020 00:00,34.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,04/04/2020 00:00,34.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,05/04/2020 00:00,31
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,06/04/2020 00:00,33.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,07/04/2020 00:00,31.7
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,08/04/2020 00:00,30.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,09/04/2020 00:00,32.8
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,10/04/2020 00:00,34
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,11/04/2020 00:00,33.2
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,12/04/2020 00:00,29.4
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,13/04/2020 00:00,36.5
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,14/04/2020 00:00,32.6
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,15/04/2020 00:00,33.9
Neiva,TEMPERATURA,TMX_CON,Temperatura máxima diaria,Diaria,16/04/2020 00:00,32.8
